IDSUCURSAL,IDBODEGA,CAPACIDADVOLUMEN,CAPACIDADTOTALVOLUMEN,CAPACIDADPESO,CAPACIDADTOTALPESO,CATEGORIA
1,1,263,295,313,360,413
2,2,72,131,201,228,511
3,3,231,236,100,113,512
4,4,130,213,201,204,363
5,5,45,53,250,315,558
6,6,303,328,343,390,341
7,7,329,389,215,297,104
8,8,50,60,270,309,309
9,9,390,447,24,38,347
10,10,10,22,367,380,568
11,11,98,125,242,250,933
12,12,206,214,195,203,827
13,13,191,203,140,142,460
14,14,159,161,201,231,760
15,15,289,305,61,73,729
16,16,129,138,4,20,885
17,17,284,301,197,204,80
18,18,316,379,220,234,390
19,19,231,235,276,282,560
20,20,136,156,303,316,460
21,21,372,389,28,61,40
22,22,157,184,188,190,248
23,23,243,244,115,118,290
24,24,1,13,369,396,889
25,25,2,22,178,179,69
26,26,194,244,43,48,360
27,27,353,365,206,228,0
28,28,381,388,241,265,847
29,29,44,77,326,337,984
30,30,18,77,300,304,214
31,31,9,72,356,368,645
32,32,253,276,284,306,744
33,33,169,211,216,281,759
34,34,57,82,292,298,975
35,35,228,260,321,381,186
36,36,189,206,54,76,390
37,37,72,75,270,311,860
38,38,369,421,381,406,93
39,39,133,160,159,176,267
40,40,17,48,84,84,41
41,41,267,283,316,329,353
42,42,76,129,297,332,853
43,43,23,105,297,300,361
44,44,177,201,190,229,314
45,45,349,371,158,199,292
46,46,145,161,355,355,835
47,47,42,70,152,228,922
48,48,18,22,394,412,169
49,49,269,325,134,134,480
50,50,17,21,160,164,980
51,51,45,47,60,61,276
52,52,231,238,56,74,375
53,53,8,9,314,321,909
54,54,383,398,398,398,671
55,55,110,116,127,162,776
56,56,157,169,385,434,532
57,57,56,58,218,240,874
58,58,204,206,189,204,53
59,59,211,284,48,49,752
60,60,249,251,181,201,510
61,61,370,381,291,304,760
62,62,82,88,280,297,979
63,63,30,64,145,157,39
64,64,252,303,26,34,413
65,65,7,42,90,140,725
66,66,162,176,283,343,516
67,67,267,360,89,91,304
68,68,300,303,301,373,916
69,69,65,66,33,76,327
70,70,80,126,177,244,397
71,71,382,397,259,282,73
72,72,280,294,185,194,791
73,73,226,261,269,272,949
74,74,226,230,342,350,671
75,75,30,67,398,401,75
76,76,28,40,3,64,766
77,77,193,203,337,348,598
78,78,349,369,389,397,139
79,79,96,125,191,216,733
80,80,57,65,150,203,283
81,81,171,184,229,249,864
82,82,228,250,331,346,892
83,83,106,107,187,198,852
84,84,114,126,117,135,70
85,85,159,173,323,344,519
86,86,291,295,236,267,255
87,87,389,423,232,253,14
88,88,221,222,393,409,816
89,89,315,347,260,268,32
90,90,329,367,309,318,977
91,91,378,428,98,109,642
92,92,187,188,299,353,737
93,93,135,172,276,324,676
94,94,301,393,377,377,933
