IDSUCURSAL,IDESTANTE,CAPACIDADVOLUMEN,CAPACIDADTOTALVOLUMEN,CAPACIDADPESO,CAPACIDADTOTALPESO,CATEGORIA,NIVELDEABASTECIMIENTO
1,1,329,381,357,361,942,65
2,2,141,227,216,218,804,80
3,3,207,216,210,221,940,42
4,4,51,59,293,310,239,89
5,5,290,340,88,97,973,81
6,6,171,194,383,397,487,60
7,7,209,217,213,243,828,12
8,8,292,301,247,314,104,3
9,9,116,143,379,390,82,13
10,10,84,121,196,251,407,56
11,11,192,232,29,30,931,91
12,12,332,359,313,328,448,27
13,13,92,93,149,150,854,42
14,14,82,95,47,54,209,69
15,15,261,262,20,42,584,80
16,16,26,34,43,73,464,76
17,17,150,152,281,282,459,49
18,18,214,215,36,73,881,60
19,19,13,39,329,344,502,40
20,20,298,322,88,112,590,92
21,21,332,431,163,175,96,15
22,22,85,104,251,253,46,52
23,23,265,303,115,116,674,54
24,24,16,47,100,104,563,98
25,25,374,452,172,186,633,14
26,26,175,180,363,387,769,85
27,27,215,218,375,377,61,25
28,28,133,186,336,349,238,85
29,29,255,279,149,211,873,39
30,30,63,73,132,133,474,91
31,31,122,147,342,365,773,3
32,32,109,110,206,247,878,34
33,33,317,320,120,152,168,60
34,34,181,208,169,201,990,20
35,35,233,233,71,76,259,8
36,36,303,359,375,392,522,27
37,37,56,77,376,410,735,70
38,38,305,344,280,282,730,23
39,39,230,233,123,129,8,58
40,40,180,207,308,377,929,34
41,41,337,350,360,388,339,77
42,42,12,15,370,410,845,52
43,43,169,245,375,376,367,64
44,44,346,353,330,331,924,84
45,45,218,219,315,347,899,29
46,46,298,306,262,263,777,48
47,47,248,272,282,292,672,34
48,48,43,63,132,133,284,32
49,49,170,241,16,34,26,54
50,50,120,176,337,341,904,15
51,51,61,70,277,363,731,31
52,52,48,130,0,33,548,42
53,53,113,118,255,257,337,71
54,54,30,69,259,289,599,97
55,55,355,385,142,147,507,23
56,56,52,93,276,293,499,75
57,57,125,177,331,352,553,17
58,58,288,309,291,344,76,96
59,59,141,152,373,378,149,80
60,60,124,158,351,392,994,93
61,61,170,196,197,244,372,39
62,62,369,380,280,330,684,47
63,63,182,201,276,348,241,25
64,64,305,307,204,204,225,57
65,65,236,251,176,188,962,37
66,66,48,66,334,344,861,19
67,67,137,188,42,68,311,86
68,68,320,324,386,387,781,40
69,69,234,235,36,63,224,73
70,70,201,219,55,79,888,19
71,71,8,31,180,246,793,46
72,72,275,317,331,332,459,8
73,73,162,210,324,344,265,12
74,74,207,241,76,84,566,80
75,75,207,236,232,257,170,51
76,76,114,123,119,133,805,84
77,77,333,383,305,317,36,73
78,78,315,339,144,170,353,5
79,79,71,96,250,278,997,26
80,80,174,175,75,83,817,18
81,81,163,242,274,277,62,60
82,82,330,379,326,341,684,48
83,83,210,223,186,192,882,58
84,84,31,60,16,23,861,61
85,85,91,96,45,84,897,87
86,86,235,237,135,143,891,5
87,87,90,114,185,201,751,64
88,88,214,218,303,305,201,49
89,89,394,395,376,440,757,2
90,90,272,277,202,205,477,50
91,91,178,247,196,217,934,30
92,92,348,356,392,405,778,24
93,93,25,119,12,41,704,27
94,94,273,274,195,212,530,95
95,95,157,180,302,322,444,70
96,96,78,152,121,159,653,14
97,97,397,407,134,149,127,38
98,98,115,135,335,344,913,94
99,99,256,257,262,269,510,83
100,100,204,223,164,173,505,22
101,101,193,202,391,392,101,98
102,102,212,217,218,283,797,51
103,103,228,229,188,217,353,26
104,104,196,270,25,41,439,79
105,105,267,359,35,51,177,60
