CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA
q8a6x1w8b6,Goldschalger,Caja,Latz,cm3,integer,1
u0x1x3b6x3,Bread - Raisin,Botella,Edgepulse,gr,non,2
q7v7w0p4e7,Chips - Doritos,Botella Plastica,Browsetype,gr,diam neque,3
d9s4n4o7j1,Chips - Potato Jalapeno,Caja,Trudoo,cm3,ultrices enim,4
"u2b1i5q8y6,""Oranges - Navel, 72"",Ancheta,Talane,cm3,pellentesque eget,5"
m2l1c7b4o9,Gatorade - Lemon Lime,Botella,Blogtags,cm3,sed augue,6
a0e5d1o8p6,Potato - Sweet,Botella Vidrio,Shuffledrive,gr,sit amet,7
b4w0f6y7n6,Bread - Multigrain,Regalo,Layo,cm3,et,8
"s8z0g6f5m0,""Juice - Apple, 341 Ml"",Botella,Topiclounge,gr,nulla,9"
v9y1d7p2k2,Wasabi Powder,Botella,Zoonoodle,cm3,nonummy,10
y9r3k1r7r7,Soy Protein,Botella Plastica,Jaxspan,cm3,integer,11
b5i1l8c1k7,Pasta - Ravioli,Tela,Zoombeat,gr,at,12
r8u2a5h6t6,Fruit Salad Deluxe,Regalo,Lajo,cm3,porta volutpat,13
h5m8p4t2e5,Coriander - Seed,Tela,Flipstorm,gr,maecenas,14
r5q0g5v4e1,Swiss Chard,Botella Vidrio,Skibox,gr,vestibulum aliquet,15
"j6x4q6h7t3,""Pepper - Julienne, Frozen"",Botella Vidrio,Roodel,gr,ut erat,16"
b8k2k8f3w2,Pastry - Key Limepoppy Seed Tea,Botella,Flashspan,cm3,ac neque,17
o2v2h3u7l9,Lamb Shoulder Boneless Nz,Botella Plastica,Skilith,cm3,ipsum primis,18
k0f2u6g0r5,Mangoes,Botella Vidrio,Linkbuzz,gr,suscipit,19
i2c2a3q7h6,Syrup - Monin - Blue Curacao,Botella,Devbug,cm3,turpis,20
q0s9z7s2k7,Wine - Stoneliegh Sauvignon,Botella,Devcast,cm3,habitasse,21
"q2i3g3w3i2,""Wine - White, Pelee Island"",Caja,Yodel,cm3,nulla,22"
w1u0h8a0z9,Energy Drink Bawls,Botella,Kazio,gr,volutpat eleifend,23
z5d5a6o8g3,Pail For Lid 1537,Regalo,Realfire,cm3,felis ut,24
d0v6s2k7k1,Flax Seed,Botella Plastica,Roomm,gr,ut erat,25
"x2q7t3o6c9,""Wine - White, Lindemans Bin 95"",Botella Plastica,Miboo,cm3,odio cras,26"
"l9r7k6e3o2,""Artichokes - Knobless, White"",Caja,Meezzy,gr,odio elementum,27"
a2o6l4n2p4,Beans - Yellow,Botella Plastica,Rhynoodle,gr,cursus,28
"d6w6o6e8m9,""Club Soda - Schweppes, 355 Ml"",Botella Plastica,Muxo,gr,arcu adipiscing,29"
c4r7u0m7c7,Chickensplit Half,Botella Plastica,Oyondu,gr,ultrices,30
"c3e4p0v4j3,""Leeks - Baby, White"",Regalo,Feedfish,gr,sollicitudin,31"
"e5c2k7g9b9,""Beef - Bones, Cut - Up"",Canasta,Yodo,cm3,morbi non,32"
z8f4u8u5k4,Coffee - Irish Cream,Botella Vidrio,Kaymbo,gr,cubilia curae,33
u4f8s0s6f1,Beer - Sleemans Cream Ale,Ancheta,Babblestorm,cm3,purus phasellus,34
s6l5w4e6i0,Extract - Almond,Botella Vidrio,Eayo,gr,ligula,35
c4r1t3e8q2,Carbonated Water - Raspberry,Ancheta,Yacero,cm3,ipsum,36
"p7z6a3y5k3,""Liners - Banana, Paper"",Paquete,Meeveo,cm3,rutrum rutrum,37"
"v7j4e4t8u8,""Tomatoes - Vine Ripe, Yellow"",Paquete,Youfeed,gr,ipsum,38"
l5a2q4e3b9,Blue Curacao - Marie Brizard,Botella Vidrio,Meevee,cm3,nulla elit,39
u6c3s9b2b7,Rice - Jasmine Sented,Ancheta,Trudeo,cm3,justo maecenas,40
t1j4d2f7g7,Sausage - Blood Pudding,Ancheta,Blogpad,gr,odio in,41
o0r9g5z8p7,Pasta - Ravioli,Botella Plastica,Blogtags,gr,metus,42
k9t4x6l8h6,Table Cloth 62x120 Colour,Botella Plastica,Ntags,cm3,erat,43
o9p3j7w3s0,Lettuce - Boston Bib - Organic,Botella Vidrio,Meezzy,gr,vel,44
b6p6d5g8o7,Flour - Cake,Paquete,Tagtune,gr,nam ultrices,45
"v1i1w5y3e5,""Soup - Campbells, Minestrone"",Regalo,Pixonyx,cm3,luctus,46"
f6c1c0e3o8,Wine - Wyndham Estate Bin 777,Tela,Dynava,gr,blandit ultrices,47
r3k3a7g3y4,Onions - Cooking,Regalo,Topiclounge,gr,odio,48
b1g3e2n6w4,Truffle - Whole Black Peeled,Regalo,Centidel,cm3,nibh,49
p6k2t1l9s1,Cucumber - English,Ancheta,Buzzster,cm3,risus auctor,50
j7g3f2t2s0,Muffin Mix - Chocolate Chip,Paquete,Yodo,gr,scelerisque quam,51
u1t9s6x9g8,Sauce - Rosee,Ancheta,Katz,gr,id nisl,52
g6h5t2e5j8,Pike - Frozen Fillet,Caja,Quatz,gr,enim,53
u9p8n0z0n7,Cheese - Brie,Canasta,Jaloo,gr,enim,54
s9d5v5m5k5,Cookies Cereal Nut,Paquete,Yakitri,gr,massa id,55
j2f9n0x7f8,Longos - Grilled Veg Sandwiches,Botella Plastica,Tagcat,gr,lacus,56
"k9s1p2f7u7,""Soup - Campbells, Butternut"",Paquete,Twimm,gr,et tempus,57"
"u1g5z5e0h7,""Beer - Alexander Kieths, Pale Ale"",Paquete,Feedbug,gr,nisi,58"
k0u6x3f4j2,Pasta - Ravioli,Botella Vidrio,Photofeed,gr,convallis tortor,59
m5f3i3e9u3,Wine - Taylors Reserve,Botella Plastica,Reallinks,gr,at,60
t2t3p8q5l7,Eggplant - Regular,Caja,Centizu,cm3,tellus nulla,61
"m2g3i3t2f4,""Tart Shells - Savory, 3"",Canasta,Livetube,gr,tincidunt lacus,62"
h3j9q1v1k9,Oil - Canola,Botella,Browsetype,gr,diam id,63
"w4y9r7u2h5,""Glass - Wine, Plastic, Clear 5 Oz"",Ancheta,Abatz,cm3,felis,64"
i6x0o1t3p7,Arrowroot,Botella,Trudoo,gr,justo aliquam,65
j8r5g2x3p9,Flour - Bread,Paquete,Snaptags,gr,mattis odio,66
b4g3d5x7r0,Cake - Box Window 10x10x2.5,Botella Vidrio,Browsetype,gr,sem mauris,67
"c9z7k8q0e4,""Chicken - Diced, Cooked"",Canasta,Viva,gr,quisque,68"
m0d0o9t4y8,Grapefruit - Pink,Canasta,Twimbo,gr,et,69
d6x0e0z8h0,Longos - Chicken Wings,Caja,Demimbu,gr,amet,70
n1s7w9p5v3,Ketchup - Tomato,Regalo,Npath,cm3,molestie,71
e3d1d6z8c3,Flour Dark Rye,Caja,Eimbee,cm3,elit proin,72
a7r1p2q9e5,Flower - Commercial Spider,Ancheta,Skaboo,gr,eu mi,73
z6k6b6m6e3,Tea - Herbal - 6 Asst,Botella Vidrio,Gabspot,gr,non quam,74
o1a0v7b4y4,Sauce - Fish 25 Ozf Bottle,Canasta,Jabberstorm,gr,parturient montes,75
y9h2u4u0q4,Danishes - Mini Raspberry,Botella,Quaxo,cm3,elit,76
h5h9e0m2z6,Crab Brie In Phyllo,Botella Vidrio,Jabbercube,cm3,ut,77
o0j0f7r1x7,Saskatoon Berries - Frozen,Canasta,Skilith,gr,orci eget,78
w5u8f4b1t4,Juice - Orange,Paquete,Myworks,cm3,nibh in,79
u6h0l9u1g0,Sauce - Rosee,Botella Plastica,Skiba,cm3,enim lorem,80
x7y1l4z1h8,Wine - Jafflin Bourgongone,Bolsa,Vidoo,cm3,maecenas,81
h4g2z0w1e1,Ecolab - Hobart Washarm End Cap,Paquete,Oyope,gr,purus,82
w1b6r3p0e7,Coffee - Ristretto Coffee Capsule,Canasta,Jamia,cm3,vivamus,83
o0i6u8q8b7,Vinegar - Tarragon,Paquete,Skyble,cm3,interdum,84
h1y7q4d3g6,Sausage - Blood Pudding,Botella,Ainyx,gr,aliquet maecenas,85
"e0t9j4j8v9,""Sauce - White, Mix"",Tela,Yodoo,gr,sed ante,86"
k1j2q6l7h9,Muffin Batt - Ban Dream Zero,Botella Vidrio,Dynazzy,cm3,in,87
s0b7n8e1h4,Beer - Sleeman Fine Porter,Paquete,Trudeo,cm3,condimentum neque,88
f9c9g7w5v2,Sage - Fresh,Canasta,Wikizz,cm3,leo odio,89
s8a9p9v2v8,Apron,Ancheta,Skyndu,gr,augue,90
c0v2o0e1z8,Wine - Coteaux Du Tricastin Ac,Tela,Demimbu,gr,vivamus in,91
k0j0e5w8w0,Cake - Bande Of Fruit,Botella,Camido,gr,vivamus,92
"f4d8m6s3w8,""Soup - Campbells, Lentil"",Botella Plastica,Eire,gr,pede posuere,93"
"z0y4x3y4k1,""Trout - Rainbow, Frozen"",Tela,Wikivu,cm3,justo lacinia,94"
"m9p1v1r7f1,""Salmon - Atlantic, Fresh, Whole"",Tela,Photobean,cm3,nulla,95"
a5v8z2e3v3,Sage Derby,Botella Vidrio,Zoombeat,cm3,in faucibus,96
"z4y2l5m0a3,""Cheese - Cheddar, Mild"",Tela,Kwinu,gr,vivamus,97"
i5j4l0f4b6,Shiro Miso,Canasta,Zooveo,cm3,hendrerit,98
