CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA;;;;;;;,;,DEC;PRECIOUNITARIO;,;CANTIDAD;,;CANTIDADRECOMPRA;,;NIVELREORDEN;,;,DEC;PRECIOUNIDADEMEDIDA;,;IDSUCURSAL;,;CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA,PRECIOUNITARIO,DEC,CANTIDAD,CANTIDADRECOMPRA,NIVELREORDEN,PRECIOUNIDADEMEDIDA,DEC,IDSUCURSAL,
q8a6x1w8b6,Goldschalger,Caja,Latz,cm3,integer,1;;;;;;;,;;18576,27449;,;30;,;66;,;36;,;;46,44068622;,;798;,;q8a6x1w8b6,Goldschalger,Caja,Latz,cm3,integer,1,18576,27449,30,66,36,46,44068622,798,
u0x1x3b6x3,Bread - Raisin,Botella,Edgepulse,gr,non,2;;;;;;;,;;3582,936074;,;17;,;38;,;28;,;;8,957340186;,;439;,;u0x1x3b6x3,Bread - Raisin,Botella,Edgepulse,gr,non,2,3582,936074,17,38,28,8,957340186,439,
q7v7w0p4e7,Chips - Doritos,Botella Plastica,Browsetype,gr,diam neque,3;;;;;;;,;;47058,79301;,;25;,;55;,;50;,;;117,6469825;,;427;,;q7v7w0p4e7,Chips - Doritos,Botella Plastica,Browsetype,gr,diam neque,3,47058,79301,25,55,50,117,6469825,427,
d9s4n4o7j1,Chips - Potato Jalapeno,Caja,Trudoo,cm3,ultrices enim,4;;;;;;;,;;29285,94725;,;29;,;63;,;11;,;;73,21486812;,;981;,;d9s4n4o7j1,Chips - Potato Jalapeno,Caja,Trudoo,cm3,ultrices enim,4,29285,94725,29,63,11,73,21486812,981,
"u2b1i5q8y6,""Oranges - Navel, 72"",Ancheta,Talane,cm3,pellentesque eget,5";;;;;;;,;;2498,191636;,;2;,;9;,;24;,;;6,245479089;,;184;,;"u2b1i5q8y6,""Oranges - Navel, 72"",Ancheta,Talane,cm3,pellentesque eget,5,2498,191636,2,9,24,6,245479089,184,"
m2l1c7b4o9,Gatorade - Lemon Lime,Botella,Blogtags,cm3,sed augue,6;;;;;;;,;;6992,254025;,;33;,;71;,;23;,;;17,48063506;,;601;,;m2l1c7b4o9,Gatorade - Lemon Lime,Botella,Blogtags,cm3,sed augue,6,6992,254025,33,71,23,17,48063506,601,
a0e5d1o8p6,Potato - Sweet,Botella Vidrio,Shuffledrive,gr,sit amet,7;;;;;;;,;;43431,30225;,;12;,;28;,;21;,;;108,5782556;,;879;,;a0e5d1o8p6,Potato - Sweet,Botella Vidrio,Shuffledrive,gr,sit amet,7,43431,30225,12,28,21,108,5782556,879,
b4w0f6y7n6,Bread - Multigrain,Regalo,Layo,cm3,et,8;;;;;;;,;;43075,79781;,;30;,;66;,;39;,;;107,6894945;,;399;,;b4w0f6y7n6,Bread - Multigrain,Regalo,Layo,cm3,et,8,43075,79781,30,66,39,107,6894945,399,
"s8z0g6f5m0,""Juice - Apple, 341 Ml"",Botella,Topiclounge,gr,nulla,9";;;;;;;,;;15189,61648;,;28;,;61;,;5;,;;37,9740412;,;905;,;"s8z0g6f5m0,""Juice - Apple, 341 Ml"",Botella,Topiclounge,gr,nulla,9,15189,61648,28,61,5,37,9740412,905,"
v9y1d7p2k2,Wasabi Powder,Botella,Zoonoodle,cm3,nonummy,10;;;;;;;,;;12813,76693;,;26;,;58;,;30;,;;32,03441733;,;1;,;v9y1d7p2k2,Wasabi Powder,Botella,Zoonoodle,cm3,nonummy,10,12813,76693,26,58,30,32,03441733,1,
y9r3k1r7r7,Soy Protein,Botella Plastica,Jaxspan,cm3,integer,11;;;;;;;,;;16870,55145;,;13;,;30;,;36;,;;42,17637862;,;906;,;y9r3k1r7r7,Soy Protein,Botella Plastica,Jaxspan,cm3,integer,11,16870,55145,13,30,36,42,17637862,906,
b5i1l8c1k7,Pasta - Ravioli,Tela,Zoombeat,gr,at,12;;;;;;;,;;15789,19049;,;34;,;74;,;40;,;;39,47297622;,;755;,;b5i1l8c1k7,Pasta - Ravioli,Tela,Zoombeat,gr,at,12,15789,19049,34,74,40,39,47297622,755,
r8u2a5h6t6,Fruit Salad Deluxe,Regalo,Lajo,cm3,porta volutpat,13;;;;;;;,;;1364,152205;,;12;,;30;,;3;,;;3,410380513;,;196;,;r8u2a5h6t6,Fruit Salad Deluxe,Regalo,Lajo,cm3,porta volutpat,13,1364,152205,12,30,3,3,410380513,196,
h5m8p4t2e5,Coriander - Seed,Tela,Flipstorm,gr,maecenas,14;;;;;;;,;;19724,06952;,;17;,;38;,;20;,;;49,3101738;,;653;,;h5m8p4t2e5,Coriander - Seed,Tela,Flipstorm,gr,maecenas,14,19724,06952,17,38,20,49,3101738,653,
r5q0g5v4e1,Swiss Chard,Botella Vidrio,Skibox,gr,vestibulum aliquet,15;;;;;;;,;;20632,87425;,;25;,;54;,;2;,;;51,58218562;,;998;,;r5q0g5v4e1,Swiss Chard,Botella Vidrio,Skibox,gr,vestibulum aliquet,15,20632,87425,25,54,2,51,58218562,998,
"j6x4q6h7t3,""Pepper - Julienne, Frozen"",Botella Vidrio,Roodel,gr,ut erat,16";;;;;;;,;;38885,96228;,;22;,;48;,;39;,;;97,21490569;,;98;,;"j6x4q6h7t3,""Pepper - Julienne, Frozen"",Botella Vidrio,Roodel,gr,ut erat,16,38885,96228,22,48,39,97,21490569,98,"
b8k2k8f3w2,Pastry - Key Limepoppy Seed Tea,Botella,Flashspan,cm3,ac neque,17;;;;;;;,;;17218,23855;,;38;,;81;,;36;,;;43,04559637;,;88;,;b8k2k8f3w2,Pastry - Key Limepoppy Seed Tea,Botella,Flashspan,cm3,ac neque,17,17218,23855,38,81,36,43,04559637,88,
o2v2h3u7l9,Lamb Shoulder Boneless Nz,Botella Plastica,Skilith,cm3,ipsum primis,18;;;;;;;,;;26438,26739;,;49;,;102;,;46;,;;66,09566847;,;748;,;o2v2h3u7l9,Lamb Shoulder Boneless Nz,Botella Plastica,Skilith,cm3,ipsum primis,18,26438,26739,49,102,46,66,09566847,748,
k0f2u6g0r5,Mangoes,Botella Vidrio,Linkbuzz,gr,suscipit,19;;;;;;;,;;39264,71198;,;5;,;15;,;6;,;;98,16177995;,;584;,;k0f2u6g0r5,Mangoes,Botella Vidrio,Linkbuzz,gr,suscipit,19,39264,71198,5,15,6,98,16177995,584,
i2c2a3q7h6,Syrup - Monin - Blue Curacao,Botella,Devbug,cm3,turpis,20;;;;;;;,;;40158,25392;,;3;,;12;,;38;,;;100,3956348;,;792;,;i2c2a3q7h6,Syrup - Monin - Blue Curacao,Botella,Devbug,cm3,turpis,20,40158,25392,3,12,38,100,3956348,792,
q0s9z7s2k7,Wine - Stoneliegh Sauvignon,Botella,Devcast,cm3,habitasse,21;;;;;;;,;;32534,52477;,;10;,;25;,;40;,;;81,33631192;,;678;,;q0s9z7s2k7,Wine - Stoneliegh Sauvignon,Botella,Devcast,cm3,habitasse,21,32534,52477,10,25,40,81,33631192,678,
"q2i3g3w3i2,""Wine - White, Pelee Island"",Caja,Yodel,cm3,nulla,22";;;;;;;,;;31973,02841;,;5;,;15;,;28;,;;79,93257101;,;762;,;"q2i3g3w3i2,""Wine - White, Pelee Island"",Caja,Yodel,cm3,nulla,22,31973,02841,5,15,28,79,93257101,762,"
w1u0h8a0z9,Energy Drink Bawls,Botella,Kazio,gr,volutpat eleifend,23;;;;;;;,;;36650,88873;,;16;,;37;,;39;,;;91,62722183;,;19;,;w1u0h8a0z9,Energy Drink Bawls,Botella,Kazio,gr,volutpat eleifend,23,36650,88873,16,37,39,91,62722183,19,
z5d5a6o8g3,Pail For Lid 1537,Regalo,Realfire,cm3,felis ut,24;;;;;;;,;;37905,90884;,;32;,;69;,;45;,;;94,7647721;,;839;,;z5d5a6o8g3,Pail For Lid 1537,Regalo,Realfire,cm3,felis ut,24,37905,90884,32,69,45,94,7647721,839,
d0v6s2k7k1,Flax Seed,Botella Plastica,Roomm,gr,ut erat,25;;;;;;;,;;61873,36289;,;34;,;72;,;27;,;;154,6834072;,;381;,;d0v6s2k7k1,Flax Seed,Botella Plastica,Roomm,gr,ut erat,25,61873,36289,34,72,27,154,6834072,381,
"x2q7t3o6c9,""Wine - White, Lindemans Bin 95"",Botella Plastica,Miboo,cm3,odio cras,26";;;;;;;,;;18946,62222;,;7;,;19;,;20;,;;47,36655555;,;735;,;"x2q7t3o6c9,""Wine - White, Lindemans Bin 95"",Botella Plastica,Miboo,cm3,odio cras,26,18946,62222,7,19,20,47,36655555,735,"
"l9r7k6e3o2,""Artichokes - Knobless, White"",Caja,Meezzy,gr,odio elementum,27";;;;;;;,;;5030,972353;,;25;,;54;,;39;,;;12,57743088;,;985;,;"l9r7k6e3o2,""Artichokes - Knobless, White"",Caja,Meezzy,gr,odio elementum,27,5030,972353,25,54,39,12,57743088,985,"
a2o6l4n2p4,Beans - Yellow,Botella Plastica,Rhynoodle,gr,cursus,28;;;;;;;,;;13865,05242;,;45;,;94;,;39;,;;34,66263106;,;86;,;a2o6l4n2p4,Beans - Yellow,Botella Plastica,Rhynoodle,gr,cursus,28,13865,05242,45,94,39,34,66263106,86,
