NIT,NOMBRE;,;CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA;,PRECIO;,CALIFICACIONCALIDAD;;;;;;;NIT,NOMBRE,CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA
09-366-7688,Oozz;,;q8a6x1w8b6,Goldschalger,Caja,Latz,cm3,integer,1;#ÀNOMBRE?;;;;;;;;09-366-7688,Oozz,q8a6x1w8b6,Goldschalger,Caja,Latz,cm3,integer,1
18-265-9322,Dabvine;,;u0x1x3b6x3,Bread - Raisin,Botella,Edgepulse,gr,non,2;;;;;;;;;18-265-9322,Dabvine,u0x1x3b6x3,Bread - Raisin,Botella,Edgepulse,gr,non,2
72-861-6090,Vipe;,;q7v7w0p4e7,Chips - Doritos,Botella Plastica,Browsetype,gr,diam neque,3;;;;;;;;;72-861-6090,Vipe,q7v7w0p4e7,Chips - Doritos,Botella Plastica,Browsetype,gr,diam neque,3
08-214-8009,Gigaclub;,;d9s4n4o7j1,Chips - Potato Jalapeno,Caja,Trudoo,cm3,ultrices enim,4;;;;;;;;;08-214-8009,Gigaclub,d9s4n4o7j1,Chips - Potato Jalapeno,Caja,Trudoo,cm3,ultrices enim,4
41-713-4997,Linkbuzz;,;"u2b1i5q8y6,""Oranges - Navel, 72"",Ancheta,Talane,cm3,pellentesque eget,5";;;;;;;;;"41-713-4997,Linkbuzz,u2b1i5q8y6,""Oranges - Navel, 72"",Ancheta,Talane,cm3,pellentesque eget,5"
31-428-2226,Skilith;,;m2l1c7b4o9,Gatorade - Lemon Lime,Botella,Blogtags,cm3,sed augue,6;;;;;;;;;31-428-2226,Skilith,m2l1c7b4o9,Gatorade - Lemon Lime,Botella,Blogtags,cm3,sed augue,6
69-380-3557,Oba;,;a0e5d1o8p6,Potato - Sweet,Botella Vidrio,Shuffledrive,gr,sit amet,7;;;;;;;;;69-380-3557,Oba,a0e5d1o8p6,Potato - Sweet,Botella Vidrio,Shuffledrive,gr,sit amet,7
33-081-3630,Quatz;,;b4w0f6y7n6,Bread - Multigrain,Regalo,Layo,cm3,et,8;;;;;;;;;33-081-3630,Quatz,b4w0f6y7n6,Bread - Multigrain,Regalo,Layo,cm3,et,8
62-510-7328,Tagopia;,;"s8z0g6f5m0,""Juice - Apple, 341 Ml"",Botella,Topiclounge,gr,nulla,9";;;;;;;;;"62-510-7328,Tagopia,s8z0g6f5m0,""Juice - Apple, 341 Ml"",Botella,Topiclounge,gr,nulla,9"
