IDSUCURSAL,NOMBRE,SEGMENTACION,TAMANO,CIUDAD,DIRECCION
1,Laurer's Desmatodon Moss,Universitaria,Pequeno,Kuzhu,63 Linden Avenue
2,Greene's Maple,Familiar,Mediano,Martil,5630 Arkansas Street
3,Lanceleaf Thoroughwort,Geografica,Pequeno,Effium,5656 Kim Plaza
4,Desert Spinystar,Geografica,Mediano,Vidče,140 Milwaukee Road
5,Tomasellia Lichen,Conductual,Pequeno,Bendoroto,392 5th Place
6,Buffalo Clover,Centro,Mediano,Dobje pri Planini,95374 Artisan Pass
7,Bejuco De Lira,Conductual,Mediano,Nangewer,739 Donald Trail
8,Cambustera De Costa,Familiar,Grande,Guijalo,7701 Colorado Junction
9,Palo Colorado,Universitaria,Mediano,Hamburg Sankt Pauli,2 Sutherland Plaza
10,Orange Lichen,Geografica,Grande,Junglinster,78 Sundown Park
11,Christmas Fern,Universitaria,Mediano,Uruguaiana,28961 Homewood Road
12,Cola,Centro,Grande,Pregonero,0841 Sherman Court
13,Howard's Evening Primrose,Centro,Grande,Penhascoso,329 Farragut Street
14,Weinmannia,Universitaria,Grande,Kelburn,7984 Doe Crossing Crossing
15,Colorado Buckhorn Cholla,Conductual,Pequeno,Sacramento,618 Kim Road
16,Cypress-pine,Centro,Grande,Morondava,5 Sage Plaza
17,Myriotrema Lichen,Centro,Grande,Saverne,384 Stuart Park
18,Skyblue Clustervine,Conductual,Pequeno,Volodymyr-Volyns’kyy,2 Vermont Street
19,California Blackberry,Centro,Grande,João Pinheiro,821 Northview Terrace
20,Beardless Rabbitsfoot Grass,Centro,Mediano,Hanting,7932 Birchwood Hill
21,Lone Fleabane,Geografica,Grande,Shypyntsi,5 Birchwood Point
22,Snowparsley,Familiar,Pequeno,Skolkovo,8582 Arkansas Hill
23,Thread Lichen,Geografica,Mediano,Prosperous,4 Garrison Parkway
24,Diploid Timothy,Geografica,Pequeno,Tarfaya,99 Pleasure Court
25,Longtip Lacebark,Conductual,Grande,Słotowa,74228 Eagan Terrace
26,Bittercress Ragwort,Centro,Pequeno,Teykovo,680 Brickson Park Lane
27,Delta Bulrush,Conductual,Grande,Calceta,4 Morningstar Trail
28,San Nicholas Biscuitroot,Universitaria,Grande,Sheksna,0 Kensington Alley
29,Waianae Range Papala,Geografica,Pequeno,Timashëvsk,22 Hayes Center
30,White Locoweed,Familiar,Pequeno,Taoyao,84207 Tennessee Terrace
31,Kral's Sedge,Conductual,Grande,Sutton,588 Hansons Court
32,Wild Tantan,Familiar,Grande,Klimavichy,90500 Hoffman Place
33,Cassine,Geografica,Mediano,Sindangjati,1 Goodland Alley
34,Slendertube Skyrocket,Universitaria,Grande,Banraeaba Village,34847 Ohio Crossing
35,Macdougal's Indian Parsley,Universitaria,Mediano,Pasto,53407 Browning Hill
36,Tundra Buttercup,Centro,Mediano,Shīeli,9898 Oriole Pass
37,Molokai Phyllostegia,Geografica,Mediano,Mosetse,62 Claremont Street
38,Donner Lake Lupine,Familiar,Pequeno,El Mirador,080 Pennsylvania Place
